,cumDailyNsoDeathsByDeathDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,hospitalCases,uniquePeopleTestedBySpecimenDateRollingSum
799,1,473259,5,5
800,1,473259,5,5
801,1,473259,5,5
802,1,424326,5,5
803,1,424326,5,5
804,0,424326,5,5
805,0,424326,5,5
806,0,424326,5,6
807,0,424326,5,6
808,0,424326,5,6
809,0,22002,5,6
810,0,22002,5,6
811,0,22002,5,5
812,0,22002,5,5
813,0,22002,3,5
814,0,22002,3,5
815,0,22002,3,5
